"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"2233",8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6
"2367",7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5
"622",6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,5
"3292",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
"386",5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
"508",6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
"2605",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
"3796",6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6
"1449",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
"153",6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
"830",7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7
"3999",6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
"839",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
"1677",7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
"4812",7,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,6
"3812",7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,5
"1640",7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5
"2546",7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6
"2877",6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5
"2188",6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
"766",7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6
"2136",7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
"4075",6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,4
"2958",6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6
"358",6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
"4621",6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,6
"3613",6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
"3819",5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
"3979",6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7
"3689",7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,6
"4772",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
"862",7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7
"4483",6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,6
"1172",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
"4694",6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
"2375",7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
"547",6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
"586",7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
"4767",6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8
"3323",5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
"2384",6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
"1916",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
"3198",7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
"3247",6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6
"2492",6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5
"3965",7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5
"3014",7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
"2135",6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6
"753",6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6
"4807",6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,6
"4528",6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
"2891",5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,8
"1077",7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6
"1989",8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,6
"2341",7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
"2226",7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
"2636",8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
"3080",6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
"2454",6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
"2314",6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
"4158",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"989",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
"4442",6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,6
"1888",7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
"2426",7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
"3285",8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6
"1749",8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5
"2970",6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,6
"414",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
